identity_key,membership,general_root,generation_family,generation_role,lex_flags,cluster_key,cluster_size,phase
sumata,SPECIAL_ONLY,(none),(none),(none),NONE,SPECIAL_ONLY|(none)|(none)|NONE,637,DISCOVERY
genital_torture,SPECIAL_ONLY,(none),(none),semantic_support,NONE,SPECIAL_ONLY|(none)|(none)|NONE,637,DISCOVERY
fire_play,SPECIAL_ONLY,(none),(none),semantic_support,NONE,SPECIAL_ONLY|(none)|(none)|NONE,637,DISCOVERY
electric_onahole,SPECIAL_ONLY,(none),(none),semantic_support,NONE,SPECIAL_ONLY|(none)|(none)|NONE,637,DISCOVERY
fleshlight,SPECIAL_ONLY,(none),(none),(none),NONE,SPECIAL_ONLY|(none)|(none)|NONE,637,DISCOVERY
groupsex,SPECIAL_ONLY,(none),(none),(none),NONE,SPECIAL_ONLY|(none)|(none)|NONE,637,DISCOVERY
sucking_cock,SPECIAL_ONLY,(none),(none),(none),NONE,SPECIAL_ONLY|(none)|(none)|NONE,637,HOLDOUT
fucking_machine,SPECIAL_ONLY,(none),(none),semantic_support,NONE,SPECIAL_ONLY|(none)|(none)|NONE,637,HOLDOUT
tentacle_fucking,SPECIAL_ONLY,(none),(none),semantic_support,NONE,SPECIAL_ONLY|(none)|(none)|NONE,637,HOLDOUT
panty,SPECIAL_ONLY,(none),(none),(none),NONE,SPECIAL_ONLY|(none)|(none)|NONE,637,HOLDOUT
undress,SPECIAL_ONLY,(none),(none),(none),NONE,SPECIAL_ONLY|(none)|(none)|NONE,637,HOLDOUT
snuff,SPECIAL_ONLY,(none),(none),semantic_support,NONE,SPECIAL_ONLY|(none)|(none)|NONE,637,HOLDOUT
penis_ring,SPECIAL_ONLY,(none),(none),(none),ANATOMY,SPECIAL_ONLY|(none)|(none)|ANATOMY,165,DISCOVERY
penis_under_clothes,SPECIAL_ONLY,(none),(none),(none),ANATOMY,SPECIAL_ONLY|(none)|(none)|ANATOMY,165,DISCOVERY
anal_play,SPECIAL_ONLY,(none),(none),semantic_support,ANATOMY,SPECIAL_ONLY|(none)|(none)|ANATOMY,165,DISCOVERY
breasts_covering,SPECIAL_ONLY,(none),(none),(none),ANATOMY,SPECIAL_ONLY|(none)|(none)|ANATOMY,165,DISCOVERY
pussy_spread,SPECIAL_ONLY,(none),(none),(none),ANATOMY,SPECIAL_ONLY|(none)|(none)|ANATOMY,165,DISCOVERY
breasts_cup,SPECIAL_ONLY,(none),(none),(none),ANATOMY,SPECIAL_ONLY|(none)|(none)|ANATOMY,165,DISCOVERY
visible_nipples,SPECIAL_ONLY,(none),(none),semantic_support,ANATOMY,SPECIAL_ONLY|(none)|(none)|ANATOMY,165,HOLDOUT
nipple,SPECIAL_ONLY,(none),(none),(none),ANATOMY,SPECIAL_ONLY|(none)|(none)|ANATOMY,165,HOLDOUT
breast_outside,SPECIAL_ONLY,(none),(none),(none),ANATOMY,SPECIAL_ONLY|(none)|(none)|ANATOMY,165,HOLDOUT
alcohol_between_breasts,SPECIAL_ONLY,(none),(none),(none),ANATOMY,SPECIAL_ONLY|(none)|(none)|ANATOMY,165,HOLDOUT
pierced_nipples,SPECIAL_ONLY,(none),(none),(none),ANATOMY,SPECIAL_ONLY|(none)|(none)|ANATOMY,165,HOLDOUT
breast_cutout,SPECIAL_ONLY,(none),(none),(none),ANATOMY,SPECIAL_ONLY|(none)|(none)|ANATOMY,165,HOLDOUT
bloomers_around_one_leg,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|NONE,118,DISCOVERY
low-cut_armhole,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|NONE,118,DISCOVERY
clothing_aside,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|NONE,118,DISCOVERY
sock_pull,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|NONE,118,DISCOVERY
thigh_peek,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|NONE,118,DISCOVERY
leotard_pull,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|NONE,118,DISCOVERY
bikini_top_only,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|NONE,118,HOLDOUT
open_clothes,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|NONE,118,HOLDOUT
covering_privates,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|NONE,118,HOLDOUT
panty_peek,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|NONE,118,HOLDOUT
