identity_key,membership,general_root,generation_family,generation_role,lex_flags,cluster_key,cluster_size,phase
forced,OVERLAP,ACTION_CONTACT,CONTEXT_MODIFIER,context,NONE,OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|NONE,42,DISCOVERY
implied_after_fingering,OVERLAP,ACTION_CONTACT,CONTEXT_MODIFIER,semantic_support,NONE,OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|NONE,42,DISCOVERY
implied_bestiality,OVERLAP,ACTION_CONTACT,CONTEXT_MODIFIER,temporal_or_implied_context,NONE,OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|NONE,42,DISCOVERY
bdsm,OVERLAP,ACTION_CONTACT,CONTEXT_MODIFIER,context,NONE,OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|NONE,42,DISCOVERY
imminent_spanking,OVERLAP,ACTION_CONTACT,CONTEXT_MODIFIER,semantic_support,NONE,OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|NONE,42,DISCOVERY
after_insertion,OVERLAP,ACTION_CONTACT,CONTEXT_MODIFIER,temporal_or_implied_context,NONE,OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|NONE,42,DISCOVERY
imminent_cunnilingus,OVERLAP,ACTION_CONTACT,CONTEXT_MODIFIER,semantic_support,NONE,OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|NONE,42,HOLDOUT
imminent_gangbang,OVERLAP,ACTION_CONTACT,CONTEXT_MODIFIER,semantic_support,NONE,OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|NONE,42,HOLDOUT
fingering_gesture,OVERLAP,ACTION_CONTACT,CONTEXT_MODIFIER,semantic_support,NONE,OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|NONE,42,HOLDOUT
implied_peeing,OVERLAP,ACTION_CONTACT,CONTEXT_MODIFIER,semantic_support,NONE,OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|NONE,42,HOLDOUT
implied_incest,OVERLAP,ACTION_CONTACT,CONTEXT_MODIFIER,semantic_support,NONE,OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|NONE,42,HOLDOUT
imminent_facesitting,OVERLAP,ACTION_CONTACT,CONTEXT_MODIFIER,semantic_support,NONE,OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|NONE,42,HOLDOUT
garter_straps,OVERLAP,CLOTHING,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,42,DISCOVERY
lingerie,OVERLAP,CLOTHING,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,42,DISCOVERY
camisole,OVERLAP,CLOTHING,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,42,DISCOVERY
g-string,OVERLAP,CLOTHING,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,42,DISCOVERY
heart_maebari,OVERLAP,CLOTHING,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,42,DISCOVERY
see-through_clothes,OVERLAP,CLOTHING,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,42,DISCOVERY
frontless_outfit,OVERLAP,CLOTHING,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,42,HOLDOUT
off_shoulder,OVERLAP,CLOTHING,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,42,HOLDOUT
reverse_bikini_armor,OVERLAP,CLOTHING,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,42,HOLDOUT
heart_pasties,OVERLAP,CLOTHING,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,42,HOLDOUT
diaper,OVERLAP,CLOTHING,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,42,HOLDOUT
corset,OVERLAP,CLOTHING,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING|CLOTHING_EXPOSURE|NONE,42,HOLDOUT
bound_wrists,OVERLAP,ACTION_CONTACT,RESTRAINT_ACTION,restraint_action,NONE,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|NONE,38,DISCOVERY
wrists_bound_apart,OVERLAP,ACTION_CONTACT,RESTRAINT_ACTION,restraint_action,NONE,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|NONE,38,DISCOVERY
denki_anma,OVERLAP,ACTION_CONTACT,RESTRAINT_ACTION,restraint_action,NONE,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|NONE,38,DISCOVERY
reverse_ryona,OVERLAP,ACTION_CONTACT,RESTRAINT_ACTION,restraint_action,NONE,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|NONE,38,DISCOVERY
bound_legs,OVERLAP,ACTION_CONTACT,RESTRAINT_ACTION,restraint_action,NONE,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|NONE,38,DISCOVERY
hogtie,OVERLAP,ACTION_CONTACT,RESTRAINT_ACTION,restraint_action,NONE,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|NONE,38,DISCOVERY
bound_feet,OVERLAP,ACTION_CONTACT,RESTRAINT_ACTION,restraint_action,NONE,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|NONE,38,HOLDOUT
cunt_busting,OVERLAP,ACTION_CONTACT,RESTRAINT_ACTION,restraint_action,NONE,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|NONE,38,HOLDOUT
bound,OVERLAP,ACTION_CONTACT,RESTRAINT_ACTION,restraint_action,NONE,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|NONE,38,HOLDOUT
bound_arms,OVERLAP,ACTION_CONTACT,RESTRAINT_ACTION,restraint_action,NONE,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|NONE,38,HOLDOUT
torture,OVERLAP,ACTION_CONTACT,RESTRAINT_ACTION,restraint_action,NONE,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|NONE,38,HOLDOUT
bound_torso,OVERLAP,ACTION_CONTACT,RESTRAINT_ACTION,restraint_action,NONE,OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|NONE,38,HOLDOUT
brown_blindfold,SPECIAL_ONLY,(none),(none),(none),RESTRAINT,SPECIAL_ONLY|(none)|(none)|RESTRAINT,31,DISCOVERY
